ID,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
1089287,300000,2008-01-14 0:00,present,manufacturing engineer,Noida,m,4/4/92 0:00,78,cbse,2010,68.5,cbse,14004,2,B.Tech/B.E.,electronics and communication engineering,69,14004,0,Himachal Pradesh,2014,630,505,595,0.649389715,305,356,-1,-1,-1,-1,-1,-0.8772,-1.1196,0.01,-1.5021,-2.7769
1269538,190000,2009-01-14 0:00,2005-01-15 0:00,java software engineer,Kolkata,m,11/22/90 0:00,79.06,state board,2008,76,state board,16201,2,B.Tech/B.E.,computer science & engineering,70.14,16201,0,Maharashtra,2012,630,570,535,-1,-1,-1,-1,-1,-1,-1,-1,-0.3027,0.2124,-0.6048,0.1459,-0.4776
831000,325000,2008-01-14 0:00,present,it operations associate,Gurgaon,m,4/11/92 0:00,87.4,cbse,2010,85.2,cbse,8195,1,B.Tech/B.E.,electronics and communication engineering,79.58,8195,1,Delhi,2014,615,655,665,0.493596387,445,324,-1,-1,-1,500,-1,-1.1644,-1.1196,0.1637,0.5262,-2.2021
1047972,195000,2011-01-14 0:00,present,technical support specialist,Hyderabad,m,7/5/91 0:00,68.5,state board,2009,68.4,state board,2618,2,B.Tech/B.E.,computer science & engineering,70.74,2618,1,Telangana,2013,535,435,285,0.916869961,555,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,-0.4511,-1.2486,0.4805
425362,145000,2009-01-12 0:00,2005-01-14 0:00,software engineer,-1,f,8/5/91 0:00,65,cbse,2008,58,cbse,75,2,B.Tech/B.E.,information technology,70,75,0,Uttar Pradesh,2012,404,464,425,0.704090412,465,-1,-1,-1,-1,-1,-1,-0.4173,0.6178,-0.4891,0.6498,-0.4455
329618,370000,2011-01-12 0:00,present,software engineer,Kolkata,m,10/20/90 0:00,83.25,wbbse,2008,79.8,wbchse,253,2,B.Tech/B.E.,electrical engineering,71.31,253,1,West Bengal,2012,315,625,605,0.960603252,-1,466,-1,-1,-1,-1,-1,-1.1128,-1.0593,-0.344,-0.17277,-2.1833
272323,390000,2008-01-12 0:00,present,software engineer,Noida,f,8/24/89 0:00,81.2,cbse,2007,82.8,cbse,11537,2,B.Tech/B.E.,computer engineering,73,11537,0,Uttar Pradesh,2011,525,625,585,0.635978757,445,-1,-1,-1,-1,-1,-1,0.51,1.1248,0.5269,-0.7603,0.6603
332563,180000,2005-01-14 0:00,2004-01-15 0:00,customer service representative,New Delhi,m,11/10/91 0:00,72,cbse,2009,62,cbse,7600,2,B.Tech/B.E.,computer engineering,69,7600,0,Uttar Pradesh,2013,345,385,495,0.143256541,295,-1,-1,-1,-1,-1,-1,0.51,0.3448,0.8171,1.58993,0.1864
677954,200000,2002-01-14 0:00,present,quality assurance,-1,f,6/7/92 0:00,69,state board,2008,69.12,state board,1401,1,B.Tech/B.E.,instrumentation and control engineering,62,1401,0,Punjab,2013,475,500,635,-1,365,-1,315,-1,-1,-1,-1,-0.0154,-0.7866,-0.9122,-0.7415,0.2889
677204,390000,2007-01-13 0:00,2004-01-15 0:00,software engineering associate,Pune,m,1/6/92 0:00,73.2,cbse,2009,76.8,cbse,457,2,B.Tech/B.E.,computer science & engineering,74.21,457,0,Rajasthan,2013,535,610,705,0.952245573,585,-1,-1,-1,-1,-1,-1,0.1282,0.2124,-0.1437,-1.3753,-2.7769
